epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.91121,0.87626,1.24824,1.55514,0.98863,0.98785,0.99232,0.93553,0.4121,0.35151,1.30435,0.0001,0.0001,0.0001
2,6.15282,0.59907,0.55499,1.26387,0.98209,0.98864,0.99432,0.94948,0.43168,0.36742,1.19708,0.000217822,0.000217822,0.000217822
3,8.189,0.55526,0.47707,1.21493,0.98166,1,0.99399,0.95864,0.34299,0.37001,1.20229,0.000333268,0.000333268,0.000333268
4,10.2885,0.51808,0.45521,1.24016,0.97429,0.98864,0.9933,0.96049,0.34593,0.36947,1.20649,0.000446338,0.000446338,0.000446338
5,12.2759,0.5093,0.4318,1.18901,0.97777,0.99975,0.99341,0.97179,0.33753,0.33988,1.2111,0.000557032,0.000557032,0.000557032
6,14.2344,0.49311,0.42278,1.18173,0.98741,1,0.99309,0.97054,0.36411,0.33096,1.17542,0.00066535,0.00066535,0.00066535
7,16.2534,0.50128,0.4182,1.15299,0.98742,1,0.99343,0.9643,0.37885,0.33141,1.15656,0.000771292,0.000771292,0.000771292
8,18.2518,0.48545,0.41947,1.21221,0.97633,1,0.99444,0.96345,0.36424,0.31045,1.21665,0.000874858,0.000874858,0.000874858
9,20.2579,0.53949,0.42477,1.28209,0.97776,0.99907,0.99478,0.95031,0.39968,0.33773,1.19722,0.000976048,0.000976048,0.000976048
10,22.2296,0.51044,0.41759,1.20961,0.98765,0.98864,0.99467,0.95981,0.36604,0.33471,1.22623,0.00107486,0.00107486,0.00107486
11,24.1686,0.49139,0.40237,1.18285,0.98874,0.99814,0.99489,0.96674,0.35289,0.32585,1.19746,0.0011713,0.0011713,0.0011713
12,26.2567,0.50968,0.40622,1.27324,0.98842,1,0.995,0.95806,0.38409,0.32258,1.16884,0.00126536,0.00126536,0.00126536
13,28.2409,0.50388,0.39202,1.2216,0.9881,1,0.995,0.95518,0.38662,0.31575,1.16028,0.00135705,0.00135705,0.00135705
14,30.1784,0.49945,0.38578,1.20679,0.98786,1,0.99455,0.96647,0.34247,0.30155,1.1561,0.00144636,0.00144636,0.00144636
15,32.1396,0.46398,0.3835,1.16758,0.98794,1,0.99478,0.966,0.33578,0.29952,1.13799,0.00153329,0.00153329,0.00153329
16,34.0714,0.49548,0.40059,1.15591,0.98796,1,0.99455,0.95651,0.37711,0.31128,1.11667,0.00161785,0.00161785,0.00161785
17,36.0134,0.47142,0.38622,1.15438,0.98776,1,0.99399,0.96169,0.35253,0.3138,1.10345,0.0016832,0.0016832,0.0016832
18,37.9681,0.44888,0.38271,1.16055,0.98793,1,0.99331,0.9633,0.33921,0.31189,1.1227,0.0016634,0.0016634,0.0016634
19,39.9403,0.50714,0.39424,1.2396,0.98783,1,0.99242,0.95388,0.36083,0.32109,1.12329,0.0016436,0.0016436,0.0016436
